left_id,right_id,choice
2575,1432,0
2160,1986,1
1877,898,1
2030,2628,1
1581,2886,1
1372,1186,1
1773,185,0
1053,723,1
1940,379,1
533,2234,1
2352,1002,0
2144,1261,0
662,3026,0
2322,1634,0
2045,427,0
1008,631,1
1625,2777,1
2522,132,0
879,875,1
2858,1337,0
533,952,1
1902,571,0
2216,475,1
688,1241,1
988,178,1
733,473,1
2990,2643,0
880,2183,0
2620,907,1
2925,1482,0
2114,2571,1
2119,2388,1
2921,2563,1
452,1726,0
429,127,1
2913,2120,1
1187,1385,1
1849,2534,1
2511,1951,1
1995,670,1
2792,1186,1
2342,1128,0
142,2976,0
2068,1758,0
1813,3025,1
3018,2616,0
42,1102,0
904,1348,1
1524,1629,1
577,534,1
1755,1354,1
646,2361,0
2820,324,0
1941,2549,1
2056,1067,0
105,2463,1
1371,2418,1
1057,2296,1
3026,1975,1
623,1658,1
802,2839,0
2025,2955,0
2579,1365,0
877,473,1
1184,63,1
1459,2354,0
2278,548,1
497,1387,0
2507,807,0
2520,1193,0
1023,2561,1
492,908,1
2418,2466,0
719,1239,1
2359,1357,1
1547,1325,0
2526,2386,0
1638,276,0
2697,2008,0
502,2368,0
2272,1422,0
232,2716,0
515,1498,0
1122,2255,0
924,1775,1
1009,1926,1
1947,122,0
1250,2301,1
1386,247,0
2185,935,0
1011,545,1
2036,1240,1
1560,737,1
1900,30,0
1563,2377,1
2842,442,1
1956,2713,1
248,2389,1
841,696,0
2022,1375,0
2662,1753,1
611,2444,0
2490,809,1
2968,906,0
2438,1113,0
412,4,0
213,2740,1
1422,808,1
498,1660,0
2728,427,0
1645,2654,0
1334,1745,0
2864,348,0
466,2060,0
2294,2128,0
779,1483,1
805,1564,0
1873,1189,0
1508,1474,0
1267,321,0
2047,2823,0
1366,1394,0
1667,2835,0
370,1277,1
109,1928,1
698,736,0
723,2681,0
1513,1810,0
2341,2717,1
63,1358,0
1249,1374,1
986,88,1
492,321,0
2910,1983,1
2663,1930,1
172,286,1
370,2783,1
1019,2590,1
1480,2364,0
2200,1562,0
896,552,1
255,189,1
538,594,1
1549,220,0
1599,1336,1
737,451,0
517,1653,0
1041,1943,0
328,1366,1
2732,1969,0
1538,2541,0
134,1637,1
53,169,1
1535,809,0
2318,1483,0
165,1920,0
1769,1704,0
1358,1673,0
691,164,1
2083,630,1
780,403,1
1522,1331,0
299,1832,0
1574,818,1
1189,2377,1
1787,716,1
1353,563,0
1562,2841,1
1180,1722,0
2812,1821,1
479,662,0
747,2585,1
1399,2071,0
486,1106,0
519,46,0
1689,1891,0
1430,1731,0
87,1244,0
312,1347,1
2724,1459,0
759,325,1
1020,2462,1
1869,2804,1
2863,1812,1
2592,579,1
199,21,1
2505,1183,0
2222,366,0
652,2133,0
2306,203,0
1915,2538,1
1900,36,0
544,1350,1
2892,482,1
187,375,0
316,1303,1
1179,1031,0
933,526,0
969,3019,0
889,374,0
629,694,1
2234,629,1
1099,2027,1
2619,114,1
3,1316,0
2680,463,1
1258,1029,1
2716,2346,1
1143,1067,0
621,1190,0
2652,946,1
1715,470,1
820,1148,0
2394,918,0
648,292,0
2697,1347,1
237,2188,1
2760,2199,0
132,160,1
2278,2367,1
853,2031,1
2677,1626,1
2175,2889,0
2233,903,1
1940,368,1
2193,722,0
1710,3000,0
1552,1634,1
1374,1986,0
235,2787,1
236,45,0
352,2510,0
578,1897,1
1424,927,1
303,2169,0
1353,1412,0
2678,2784,1
2717,2593,0
2241,3001,0
1292,2850,0
729,2726,1
1339,937,0
3016,2787,0
6,2870,0
1226,1973,1
2403,1533,1
817,301,1
508,1697,0
52,2846,0
2749,2959,0
2163,2303,1
2416,2056,0
1836,2144,1
2768,1084,0
2847,496,1
1387,283,0
19,440,0
1007,1381,0
2798,2414,0
164,759,0
2319,2220,1
2276,2877,0
1532,2805,0
1389,1262,0
2001,1598,1
851,49,0
2252,143,0
1178,2705,1
2407,90,1
3008,369,0
1552,2883,1
787,1707,0
1113,446,1
441,404,1
2675,2423,1
1576,1508,1
1552,418,1
575,1066,1
2073,2466,1
1361,1673,0
532,1308,1
